X;Y;NAME;WILNAME;POP;FORMERBREE
8.416;45.33;Vercellae;0;15000;orbcities
17.99;40.06;Kallipolis-Anxa;0;15000;orbcities
18.36;39.8;Sallentinum Pr.;0;15000;orbcities
10.994;45.439;Verona;0;15000;orbcities
14.213;42.464;Aternum;0;15000;orbcities
32.414;34.758;Paphos;Paphos;15000;orbcities
14.026;48.163;Ovilava;Ovilava;15000;orbcities
13.512;41.545;Fregellanum;0;15000;orbcities
12.466;42.411;Ocriculum;0;15000;orbcities
14.23;41.593;Aesernia;0;15000;orbcities
9.698;45.051;Placentia;0;15000;orbcities
11.985;42.644;Volsinii;0;15000;orbcities
16.373;48.21;Vindobona;Vindobona;15000;orbcities
13.83;41.492;Casinum;0;15000;orbcities
12.797;41.963;Tibur;0;15000;orbcities
23.323961;45.669615;Sarmizegetusa;0;15000;wilcities
22.2008085;40.520926;Beroea;0;15000;wilcities
26.77774005;38.36785825;Clazomenae;0;17550;wilcities
32.553;25.295;Latopolis;Aphroditopolis;18500;orbcities
6.943;50.944;Ara Agrippinensium;Col. Claudia Ara Agrippina;20000;orbcities
33.911;35.177;Salamis;Salamis;20000;orbcities
3.0;43.197;Narbo;Narbo Martius;20000;orbcities
31.5168555;30.9356335;Thmuis;0;21360;wilcities
35.234;31.776;Ierusalem;Jerusalem;22000;orbcities
30.553;25.437;Hibis;Hibis;22200;orbcities
24.946943;35.062107;Gortyn;0;22500;wilcities
36.309;33.511;Damascus;Damascus;23000;orbcities
29.723;40.436;Nicaea;Nicaea;23850;orbcities
21.867;32.824;Cyrene;Cyrene;25000;orbcities
4.818;45.758;Lugdunum;Lugdunum;25000;orbcities
16.kvě;43.531;Salona;Salona;25000;orbcities
-9.490833769281309;33.09914;Seleucia on Tigris;0;25000;wilcities
27.892;40.381;Cyzicus;Cyzicus;25200;orbcities
31.517;30.582;Boubastis;Bubastis;25900;orbcities
27.43;37.04;Halicarnassus;Halicarnassus;26100;orbcities
32.905;24.095;Syene;Syene;27750;orbcities
30.941;29.086;Herakleopolis;Herakleopolis Magna;28000;orbcities
6.593;36.362;Cirta;Cirta (Const);30000;orbcities
36.406;35.417;Apamea;Apamea;30000;orbcities
11.876;45.409;Patavium;Patavium;30000;orbcities
15.228;44.114;Iader;Iader;30000;orbcities
30.626;28.672;Oxyrhynchus;Oxyrhynchus;30000;orbcities
20.95;32.707;Ptolemais;Ptolemais;30000;orbcities
14.233;40.84;Neapolis;Puteoli;30000;orbcities
14.242;41.085;Capua;Capua;30000;orbcities
9.187;45.463;Mediolanum;Mediolanum;30000;orbcities
22.966;40.635;Thessalonica;Thessalonica;30000;orbcities
14.258722;37.063029;Gela;0;30000;wilcities
10.644;35.837;Hadrumetum;Hadrumetum;31000;orbcities
31.875853;30.9762675;Tanis;0;32745;wilcities
27.181;39.14;Pergamum;Pergamum;32850;orbcities
27.348;37.939;Ephesus;Ephesus;33600;orbcities
31.18425;30.4707015;Athribis;0;35150;wilcities
30.804;27.778;Hermopolis Magna;Hermopolis Magna;37100;orbcities
28.23;36.44;Rhodos;Rhodes;40000;orbcities
12.287;41.754;Ostia/Portus;Ostia;40000;orbcities
26.152;39.76;Alexandria Troas;Col. Augusta/Alexandria Troas/Antigoneia;41700;orbcities
32.568;29.958;Clysma;Arsinoe;45000;orbcities
10.707584;35.2960575;Thysdrus;0;45000;wilcities
35.521;33.898;Berytus;Berytus;50000;orbcities
13.582;37.309;Agrigentum;Akragas;50000;orbcities
28.065;38.476;Sardis;Sardis;53400;orbcities
2.196;36.606;Iol Caesarea;Iol Caesarea;63000;orbcities
34.898;32.508;Caesarea Maritima;Caesarea Maritima;75000;orbcities
22.886;37.912;Corinthus;Corinth;80000;orbcities
14.292;32.637;Lepcis Magna;Lepcis Magna;90000;orbcities
15.295;37.072;Syracusae;Syracuse;90000;orbcities
23.721;37.974;Athenae;Athens;90000;orbcities
31.276;30.003;Memphis;Memphis;125000;orbcities
31.804;26.477;Ptolemais Hermiou;Ptolemais;125000;orbcities
36.169;36.208;Antiochia;Antioch;250000;orbcities
10.312;36.846;Carthago;Carthage;300000;orbcities
29.91;31.2;Alexandria;Alexandria;500000;orbcities
12.485;41.891;Roma;Rome;1000000;orbcities
