X,Y,WHO,COLOR,HEADING,XCOR,YCOR,SHAPE,LABEL,LABELCOLOR,BREED,HIDDEN,SIZE,PENSIZE,PENMODE,NAME,WILNAME,POP,POPTYPE,FORMERBREE
21.867,32.824,893,9.9,257,46.298822594961166,-57.85166201433807487,circle,,9.9,newsites,false,4.0824829046386304,1,up,Cyrene,Cyrene,25000,0,orbcities
19.28,42.479,894,9.9,186,18.678146995180562,45.23207316768038311,circle,,9.9,newsites,false,1.8257418583505538,1,up,Doclea,Doclea,5000,0,orbcities
-0.586,44.856,895,9.9,358,-193.425579895133097,70.61063748955072583,circle,,9.9,newsites,false,3.1622776601683795,1,up,Burdigala,Burdigala,15000,0,orbcities
27.181,39.14,896,9.9,172,103.034914646462568,9.58250384890674667,circle,,9.9,newsites,false,4.6797435827190359,1,up,Pergamum,Pergamum,32850,0,orbcities
9.156,45.185,897,9.9,319,-89.412970040837550,74.12327849161017923,circle,,9.9,newsites,false,3.1622776601683795,1,up,Ticinum,0,15000,0,orbcities
26.694,40.351,898,9.9,17,97.835351825784869,22.51201221818941889,circle,,9.9,newsites,false,2.5166114784235831,1,up,Lampsacus,0,9500,0,orbcities
-1.299,52.487,899,9.9,47,-201.038081519657112,152.08469064066235887,circle,,9.9,newsites,false,2.1602468994692869,1,up,Venonis,0,7000,0,orbcities
-2.926,38.558,900,9.9,94,-218.409105563276398,3.36865259298392816,circle,,9.9,newsites,false,2.3094010767585029,1,up,Mariana,0,8000,0,orbcities
10.03,44.065,901,9.9,146,-80.081516436582334,62.16535167608857648,circle,,9.9,newsites,false,3.1622776601683795,1,up,Luna,0,15000,0,orbcities
24.71,40.78,902,9.9,289,76.652738609718128,27.09232525734903518,circle,,9.9,newsites,false,2.3094010767585029,1,up,Thasos,0,8000,0,orbcities
23.59,46.067,903,9.9,22,64.694811794196553,83.54014585883338384,circle,,9.9,newsites,false,2.3094010767585029,1,up,Apulum,0,8000,0,orbcities
25.159,31.562,904,9.9,18,81.446586056297733,-71.32568312254180398,circle,,9.9,newsites,false,3.0550504633038935,1,up,Catabathmus Maior,0,14000,0,orbcities
2.159,41.361,905,9.9,288,-164.117982476734312,33.29549979290080586,circle,,9.9,newsites,false,2.3094010767585029,1,up,Barcino,0,8000,0,orbcities
28.065,38.476,906,9.9,335,112.473135454427805,2.49316152256180645,circle,,9.9,newsites,false,5.9665735560705189,1,up,Sardis,Sardis,53400,0,orbcities
7.727,47.544,907,9.9,22,-104.670003450998536,99.30966184680241327,circle,,9.9,newsites,false,2.3094010767585029,1,up,Augusta Raurica,Augusta Raurica,8000,0,orbcities
7.765,48.594,908,9.9,305,-104.264288076900485,110.52021823635392650,circle,,9.9,newsites,false,2.3094010767585029,1,up,Argentorate,Argentorate (Strasbourg),8000,0,orbcities
8.596,34.986,909,9.9,89,-95.391933448598323,-34.76859257223307509,circle,,9.9,newsites,false,2.5819888974716112,1,up,Thelepte,Thelepte,10000,0,orbcities
11.876,45.409,910,9.9,277,-60.372290631713767,76.51486385471446283,circle,,9.9,newsites,false,4.4721359549995796,1,up,Patavium,Patavium,30000,0,orbcities
6.472,35.503,911,9.9,202,-118.069287516605272,-29.24872814042532454,circle,,9.9,newsites,false,2.5819888974716112,1,up,Thamugadi,Thamugadi,10000,0,orbcities
28.643,44.188,912,9.9,260,118.644279828866601,63.47858828172179813,circle,,9.9,newsites,false,2.3094010767585029,1,up,Tomis,0,8000,0,orbcities
31.276,30.003,913,9.9,68,146.756084565713252,-87.97069018093297643,circle,,9.9,newsites,false,9.1287092917527684,1,up,Memphis,Memphis,125000,0,orbcities
13.318,38.117,914,9.9,290,-44.976459856729754,-1.33978109062771256,circle,,9.9,newsites,false,2.3094010767585029,1,up,Panormus,Panormus,8000,0,orbcities
33.911,35.177,915,9.9,120,174.889242743301935,-32.72933898137178232,circle,,9.9,newsites,false,3.6514837167011076,1,up,Salamis,Salamis,20000,0,orbcities
30.7,36.894,916,9.9,146,140.606293632016445,-14.39741010436240565,circle,,9.9,newsites,false,2.5819888974716112,1,up,Attalea,0,10000,0,orbcities
-4.422,36.715,917,9.9,83,-234.381479238294474,-16.30854305077160049,circle,,9.9,newsites,false,2.3094010767585029,1,up,Malaca,0,8000,0,orbcities
30.171,38.074,918,9.9,183,134.958308555756702,-1.79888006658076449,circle,,9.9,newsites,false,2.5819888974716112,1,up,Apamea (Pisidia),0,10000,0,orbcities
26.35,36.55,919,9.9,234,94.162560018160406,-18.07020191198689574,circle,,9.9,newsites,false,2.5819888974716112,1,up,Astypaleia,0,10000,0,orbcities
26.152,39.76,920,9.9,311,92.048569384702134,16.20207047892758467,circle,,9.9,newsites,false,5.2725705305856270,1,up,Alexandria Troas,Col. Augusta/Alexandria Troas/Antigoneia,41700,0,orbcities
13.768,41.241,921,9.9,120,-40.171935689779119,32.01429334838066154,circle,,9.9,newsites,false,3.1622776601683795,1,up,Minturnae,0,15000,0,orbcities
32.805,26.006,922,9.9,175,163.080790012974376,-130.64554150382554099,circle,,9.9,newsites,false,3.0550504633038935,1,up,Coptos,0,14000,0,orbcities
27.276,37.531,923,9.9,120,104.049203081707688,-7.59633922803451256,circle,,9.9,newsites,false,3.1144823004794873,1,up,Miletus,Miletus,14550,0,orbcities
12.515,42.519,924,9.9,199,-53.549866314643864,45.65914198252043121,circle,,9.9,newsites,false,3.1622776601683795,1,up,Narnia,0,15000,0,orbcities
-2.372,51.395,925,9.9,69,-212.494202477741595,140.42571199552884309,circle,,9.9,newsites,false,2.1602468994692869,1,up,Aquae Sulis,0,7000,0,orbcities
-4.043,43.432,926,9.9,102,-230.335002217684917,55.40698768124474327,circle,,9.9,newsites,false,2.3094010767585029,1,up,Portus Blendium,0,8000,0,orbcities
21.192,42.598,927,9.9,181,39.092036344535217,46.50260289182954665,circle,,9.9,newsites,false,1.8257418583505538,1,up,Ulpiana,0,5000,0,orbcities
12.407,45.542,928,9.9,303,-54.702952114712019,77.93486766405767696,circle,,9.9,newsites,false,3.1622776601683795,1,up,Altinum,0,15000,0,orbcities
-2.329,53.464,929,9.9,92,-212.035103501788541,162.51584644313066974,circle,,9.9,newsites,false,2.1602468994692869,1,up,Mamucio,0,7000,0,orbcities
28.23,36.44,930,9.9,240,114.234794315643015,-19.24464115279704401,circle,,9.9,newsites,false,5.1639777949432224,1,up,Rhodos,Rhodes,40000,0,orbcities
16.916,48.121,931,9.9,334,-6.561619961866738,105.47012950087027150,circle,,9.9,newsites,false,2.8284271247461903,1,up,Carnuntum,Carnuntum,12000,0,orbcities
4.878,45.524,932,9.9,209,-135.087979787981510,77.74268669737963933,circle,,9.9,newsites,false,2.3094010767585029,1,up,Vienna,Vienna,8000,0,orbcities
27.892,40.381,933,9.9,202,110.626062830244535,22.83231382931947095,circle,,9.9,newsites,false,4.0987803063838397,1,up,Cyzicus,Cyzicus,25200,0,orbcities
36.169,36.208,934,9.9,122,198.997277341023050,-21.72164027886935855,circle,,9.9,newsites,false,12.9099444873580556,1,up,Antiochia,Antioch,250000,0,orbcities
0.627,44.203,935,9.9,268,-180.474718085108435,63.63873908728682238,circle,,9.9,newsites,false,2.3094010767585029,1,up,Aginnum,0,8000,0,orbcities
27.29,36.89,936,9.9,22,104.198677166901703,-14.44011698584638737,circle,,9.9,newsites,false,2.5819888974716112,1,up,Kos,0,10000,0,orbcities
15.228,44.114,937,9.9,359,-24.583923948117096,62.68851097426763630,circle,,9.9,newsites,false,4.4721359549995796,1,up,Iader,Iader,30000,0,orbcities
27.37,36.69,938,9.9,233,105.052814796581828,-16.57546106004669539,circle,,9.9,newsites,false,3.0495901363953815,1,up,Cnidus,Cnidus,13950,0,orbcities
-1.558,47.214,939,9.9,42,-203.803352095746476,95.78634412437196488,circle,,9.9,newsites,false,2.3094010767585029,1,up,Civitas Namnetum,0,8000,0,orbcities
-2.936,54.894,940,9.9,92,-218.515872766986377,177.78355657366265064,circle,,9.9,newsites,false,2.1602468994692869,1,up,Luguvalium,0,7000,0,orbcities
32.567,31.043,941,9.9,164,160.539730564676063,-76.86690099509154095,circle,,9.9,newsites,false,3.0550504633038935,1,up,Pelusium,0,14000,0,orbcities
27.141,38.427,942,9.9,313,102.607845831622484,1.97000222438274353,circle,,9.9,newsites,false,2.5819888974716112,1,up,Smyrna,0,10000,0,orbcities
10.312,36.846,943,9.9,179,-77.070681291959943,-14.90989268217049180,circle,,9.9,newsites,false,14.1421356237309510,1,up,Carthago,Carthage,300000,0,orbcities
10.924,44.646,944,9.9,341,-70.536528424907090,68.36852621164041466,circle,,9.9,newsites,false,3.1622776601683795,1,up,Mutina,0,15000,0,orbcities
4.818,45.758,945,9.9,73,-135.728583010241607,80.24103926419398647,circle,,9.9,newsites,false,4.0824829046386304,1,up,Lugdunum,Lugdunum,25000,0,orbcities
31.187,27.183,946,9.9,73,145.805856452694144,-118.07904162715691143,circle,,9.9,newsites,false,3.0550504633038935,1,up,Lykopolis,0,14000,0,orbcities
35.464,30.325,947,9.9,39,191.470189479467081,-84.53278622147054477,circle,,9.9,newsites,false,2.5819888974716112,1,up,Petra,Petra,10000,0,orbcities
30.626,28.672,948,9.9,306,139.816216324562362,-102.18140499473582850,circle,,9.9,newsites,false,4.4721359549995796,1,up,Oxyrhynchus,Oxyrhynchus,30000,0,orbcities
29.331,36.36,949,9.9,323,125.989863444115542,-20.09877878247713667,circle,,9.9,newsites,false,2.5819888974716112,1,up,Xanthos,0,10000,0,orbcities
29.519,37.158,950,9.9,300,127.997086873863793,-11.57875592641800644,circle,,9.9,newsites,false,2.5819888974716112,1,up,Cibyra,0,10000,0,orbcities
12.055,45.054,951,9.9,311,-58.461157685304514,72.72462812300899770,circle,,9.9,newsites,false,3.1622776601683795,1,up,Atria,0,15000,0,orbcities
-1.966,42.303,952,9.9,51,-208.159454007115045,43.35297038238411460,circle,,9.9,newsites,false,2.3094010767585029,1,up,Calagurris,0,8000,0,orbcities
32.553,25.295,953,9.9,238,160.390256479482019,-138.23668968760750886,circle,,9.9,newsites,false,3.5118845842842465,1,up,Latopolis,Aphroditopolis,18500,0,orbcities
-2.93,51.741,954,9.9,249,-218.451812444760378,144.11985724389529651,circle,,9.9,newsites,false,2.1602468994692869,1,up,Burrio,0,7000,0,orbcities
25.04,31.92,955,9.9,138,80.176056332148562,-67.50341722972329705,circle,,9.9,newsites,false,3.0550504633038935,1,up,Kardamis,0,14000,0,orbcities
34.901,36.915,956,9.9,70,185.459195910593337,-14.17319897657136707,circle,,9.9,newsites,false,2.5819888974716112,1,up,Tarsus,0,10000,0,orbcities
15.869,46.419,957,9.9,242,-17.740146190305204,87.29835142942584980,circle,,9.9,newsites,false,2.0000000000000000,1,up,Poetovio,Poetovio,6000,0,orbcities
29.91,31.2,958,9.9,106,132.171684538925348,-75.19065589684431927,circle,,9.9,newsites,false,18.2574185835055367,1,up,Alexandria,Alexandria,500000,0,orbcities
1.318,51.302,959,9.9,159,-173.097104308746452,139.43277700102566996,circle,,9.9,newsites,false,2.1602468994692869,1,up,Rutupiae,0,7000,0,orbcities
0.099,38.837,960,9.9,287,-186.112026440997170,6.34745757649335385,circle,,9.9,newsites,false,2.3094010767585029,1,up,Dianium,0,8000,0,orbcities
23.45,32.17,961,9.9,95,63.200070942256353,-64.83423713697294488,circle,,9.9,newsites,false,3.0550504633038935,1,up,Petras Mikros,0,14000,0,orbcities
